Stage,NodeId,UnconProb,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
0,0,1.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
1,280,0.01,24.214864793807475,29.34099566039686,20.855383244313952,25.253022537561566,23.23790415523736,34.36247337955592,23.406920080111497,23.113146930248092,22.5491084149212,24.84380067029939
1,145,0.00992,25.63364840023701,29.059699026382823,22.243473022185206,25.030615718479645,20.563942474144515,27.349533261234033,22.3662774972644,30.377385120469278,21.285167141087037,28.907272811160592
1,199,0.00874,23.712369166153643,29.817571651369004,29.180041440686576,26.025157194157103,24.36470053307775,33.184738492688396,30.03467587033469,25.62043082851291,24.639846830617273,25.780946527358676
1,586,0.00836,25.832773632982615,33.117778099752414,27.418814372444835,21.800933287745256,26.85191673081923,31.461161325013425,21.839432375741687,22.59349610256521,24.56001557561954,22.332127137416503
1,505,0.00791,23.259422331860915,22.21002471125428,37.60015054760516,21.823843736470284,28.72893338339424,24.828567001448338,24.036470075858137,23.87525750224763,24.362578977096902,25.542432580083524
1,676,0.01255,22.913029402549295,25.949754122057584,23.42223257038654,27.785070960392456,23.856857390105905,22.687142071806353,20.587363505450362,21.106879250735084,20.97691930138033,29.278811359863457
1,361,0.01431,21.47354391137781,22.421845816887476,24.00096937946879,23.246859987383655,21.501782166652635,19.963338393764367,24.197496390060735,20.89881241906381,29.815690117034087,22.98392162198745
1,838,0.00906,22.869827714467597,31.33110475899535,31.07424484301716,23.77848300582581,22.170951968819107,22.355642278338127,30.626471047900008,23.108649709975847,27.730374186784346,24.88113689928471
1,811,0.01193,21.08059378244285,22.411225840902205,22.11650675337643,22.457830071763652,21.501514544704172,22.936300735117705,22.75612739068882,24.272786523591044,25.304734695042857,33.784857925782596
1,253,0.01291,23.00109915950926,22.302720605898188,22.117542629218814,25.430752934329735,19.679308840505577,26.881515283887424,24.229660474535113,26.7414640968162,24.89643354190556,20.08271259893044
1,658,0.00721,22.1631472618287,27.39064411579964,31.69601581298956,32.93824459485729,29.163244346904815,28.505553401934602,24.097865919855256,22.227730789187767,24.118571912152145,27.50853597529318
1,514,0.00817,23.060103027435087,21.080162820211445,21.77316342158487,28.234504085322047,24.21207949415783,26.249729320261775,30.250070872703727,32.60062508875405,30.05790020697962,24.09282197862691
1,748,0.00815,30.332492952361186,22.551999658274834,24.92866933326284,32.04435074372285,24.03656863966877,34.11268844569632,24.617706002113298,25.5589457837023,22.179194727208152,23.14118663363294
1,469,0.0091,24.902780565525436,21.049145949841197,27.027960739960555,30.524389096665246,21.554931747775957,23.114184425620422,25.34077787494378,26.455257698121404,28.609503697502713,30.647143905087074
1,118,0.00717,28.777026130448583,23.524946988101984,23.76002270514745,24.066792458024516,30.48170004031425,30.711397840792742,31.18377236415296,22.82203612287662,30.65554772002269,23.001420263995296
1,91,0.00791,32.17995997955799,24.065264965594093,29.305086312289433,21.327939964172685,29.916680719673145,27.588599543975278,26.85355195483073,25.82325754989704,21.942459728850558,27.59306922401685
1,397,0.0092,30.369245599100175,25.20540470695369,24.808841054429585,31.38154966207343,25.155694152677746,22.634371206013103,26.996099420558156,30.81449723638417,29.415247674402902,22.175553263193663
1,631,0.01245,22.34251386449734,25.299337006401608,30.419302515994193,24.03598365918508,20.743184758457225,23.00149753349003,20.96712999745307,21.871093574052466,22.09248174350485,20.94513861196111
1,226,0.00693,24.56971403355424,36.12970774896277,21.54745211884886,28.997599419272518,29.372379120245363,24.677471494251154,22.204597284713504,21.79259040338843,22.017293847913372,23.386400143360596
1,640,0.01238,19.173966102026405,27.281500295599418,20.36672802468671,24.721724536256424,23.23562043360702,23.21823323266699,22.38179996079868,21.062300212293888,23.47169178880906,23.156269952915462
1,19,0.01128,23.596544621407052,23.21943560508991,23.638567755249802,30.364920667796486,22.53919188889793,27.51444432659674,32.07737653527928,21.633089054099607,25.88511912836294,21.053483863120615
1,262,0.00982,23.048340233492898,26.46117023090416,21.66037555737517,29.316660709433645,22.685589727545263,22.38402722277679,29.203895430491734,24.112043885404795,25.1573614245803,33.11012602215879
1,550,0.00792,22.926411249874054,24.6604423271197,21.94242867351357,26.215263664409154,35.135837074256635,24.604825494280973,33.03093676727378,26.237951894048336,23.34273054191075,23.118261438948032
1,793,0.01024,23.81026724444065,24.628281182977513,22.287290979184604,26.32818455929872,29.766096247544784,21.964237032159133,25.45173513799214,33.420510334799474,23.24210906914594,28.982741123901643
1,424,0.01254,23.038267702371332,23.02172770090523,30.276310788735714,22.068393586373205,25.926541163899532,21.766241628405332,21.028399735471833,28.143738117841853,28.991995139350884,23.417661992865195
1,568,0.01309,23.86169869387828,22.795899126782725,21.73199177145175,23.36690352266643,21.621397106232475,20.081586287019867,22.430401073310783,32.884690337000066,24.487835204705046,25.478617987707867
1,406,0.00774,26.02995987150902,25.53901905044449,23.628335161143205,24.280414478392927,24.293002376077183,26.715240881095088,24.45722394993396,22.899363615034524,23.32607193150995,40.69411680676333
1,388,0.01024,24.56416166792562,21.92547557828495,27.896391327164565,23.73110763380728,24.341316183347217,30.477633243149988,20.87619329240978,20.969708923621624,24.690891790375805,29.94520028402964
1,739,0.01036,22.338412197158885,29.955046441893735,21.80144322494361,27.483544811032477,27.364337489973853,27.396210072245772,24.639347368916305,29.224167192443037,22.31229992082083,21.5013203711852
1,604,0.0108,23.154467659562844,23.467026190869042,28.139038815599868,24.18026013220305,22.968233900366553,26.5077357702348,32.29365058901258,29.890742798806254,20.352223156441408,23.514014403850112
1,100,0.01134,22.003618714149173,25.996398505215257,26.602274390752104,21.610416995928283,24.85575709440828,26.994618849966223,24.17137823214032,22.223825015620402,32.43354487299236,20.27944309240007
1,55,0.0151,23.139979599499902,20.861795292950085,19.781052852621695,22.231107237048416,21.341788634506205,23.177063406840414,26.796716859685986,24.609709884198363,20.09905809619434,24.787927663594846
1,415,0.01254,23.03200670373106,21.652899513375644,20.59815044909596,33.065727473005516,23.311604824042632,21.820290320461147,22.64999202656602,24.259003496174532,22.920530874815547,21.87093436951769
1,721,0.01201,32.051931566365795,21.47355523246295,22.899572885902604,24.7653311779058,22.28329367639338,22.558474063507724,22.237758422957388,24.19924557246945,22.538180664385152,30.82375357759399
1,487,0.00745,24.895843100028117,23.51764700920032,28.75063427021833,23.520218910262916,36.63929603115715,21.642598604474653,24.563774560626772,26.621286799393282,21.438599749779588,22.15901880624839
1,442,0.01276,24.700348459366804,22.97151870912655,28.325048302119956,22.070136209747776,24.78482954837303,30.743688132336178,22.340402935437954,23.786023571442996,21.35067417524602,20.247303435130565
1,667,0.00972,25.093535292013676,21.02578571899707,30.280498004448372,23.985058301400528,21.88291938182086,25.58131093250954,30.216668635049736,20.174307906474144,24.17406847809365,27.48261349169957
1,703,0.01332,21.79876749880457,26.0940822252781,21.79904265246181,20.589175032821135,25.178514869056016,28.72923768631967,30.837681121431118,21.206232773311037,22.950395929191473,25.484026346652385
1,757,0.01137,28.07056412542553,18.330061504466155,20.76084541348271,24.141383921343714,26.269692500586938,23.766235576129738,23.83736468122724,25.00602139816693,27.249424961604873,23.66486751002796
1,73,0.00893,24.101277487699114,34.49720126566877,22.97935995138768,23.20225776915888,27.061273330764266,21.965040818728845,22.96799920637057,24.52791222595831,26.123435912862934,30.30903384735673
