NodeId,NodeId,TransProb,PostProb
0,280,0.01,1.0
0,145,0.00992,1.0
0,199,0.00874,1.0
0,586,0.00836,1.0
0,505,0.00791,1.0
0,676,0.01255,1.0
0,361,0.01431,1.0
0,838,0.00906,1.0
0,811,0.01193,1.0
0,253,0.01291,1.0
0,658,0.00721,1.0
0,514,0.00817,1.0
0,748,0.00815,1.0
0,469,0.0091,1.0
0,118,0.00717,1.0
0,91,0.00791,1.0
0,397,0.0092,1.0
0,631,0.01245,1.0
0,226,0.00693,1.0
0,640,0.01238,1.0
0,19,0.01128,1.0
0,262,0.00982,1.0
0,550,0.00792,1.0
0,793,0.01024,1.0
0,424,0.01254,1.0
0,568,0.01309,1.0
0,406,0.00774,1.0
0,388,0.01024,1.0
0,739,0.01036,1.0
0,604,0.0108,1.0
0,100,0.01134,1.0
0,55,0.0151,1.0
0,415,0.01254,1.0
0,721,0.01201,1.0
0,487,0.00745,1.0
0,442,0.01276,1.0
0,667,0.00972,1.0
0,703,0.01332,1.0
0,757,0.01137,1.0
0,73,0.00893,1.0
0,28,0.01334,1.0
0,289,0.00988,1.0
0,352,0.0138,1.0
0,10,0.01106,1.0
0,685,0.01286,1.0
0,127,0.00826,1.0
0,649,0.00724,1.0
0,730,0.00985,1.0
0,307,0.00859,1.0
0,46,0.00863,1.0
0,244,0.01178,1.0
0,865,0.01011,1.0
0,577,0.00932,1.0
0,82,0.0116,1.0
0,883,0.01182,1.0
0,523,0.00935,1.0
0,874,0.00863,1.0
0,370,0.00984,1.0
0,154,0.00838,1.0
0,460,0.00877,1.0
0,856,0.01008,1.0
0,235,0.01235,1.0
0,298,0.0117,1.0
0,847,0.0085,1.0
0,784,0.01079,1.0
0,829,0.01317,1.0
0,496,0.00834,1.0
0,775,0.0116,1.0
0,559,0.00858,1.0
0,622,0.01281,1.0
0,136,0.00882,1.0
0,892,0.01228,1.0
0,1,0.0111,1.0
0,541,0.00841,1.0
0,694,0.00996,1.0
0,379,0.00868,1.0
0,532,0.0093,1.0
0,766,0.01238,1.0
0,595,0.01443,1.0
0,613,0.00609,1.0
0,217,0.00689,1.0
0,181,0.00871,1.0
0,190,0.00974,1.0
0,478,0.00881,1.0
0,334,0.00701,1.0
0,109,0.01033,1.0
0,37,0.00848,1.0
0,163,0.01086,1.0
0,325,0.0092,1.0
0,172,0.00716,1.0
0,271,0.01028,1.0
0,712,0.00845,1.0
0,802,0.00819,1.0
0,316,0.00678,1.0
0,208,0.00695,1.0
0,343,0.00791,1.0
0,433,0.00915,1.0
0,451,0.01067,1.0
0,820,0.00989,1.0
0,64,0.00913,1.0
280,191,0.019,0.01833976833976835
280,461,0.099,0.06702775897088695
280,65,0.002,0.0022075055187637986
280,389,0.017,0.010862619808306717
280,875,0.085,0.07308684436801381
280,848,0.001,0.0011933174224343676
280,587,0.065,0.07531865585168031
280,425,0.004,0.00426894343649947
280,2,0.003,0.0020876826722338216
280,380,0.009,0.005743458838544993
280,866,0.02,0.01784121320249777
280,47,0.012,0.011822660098522168
280,308,0.004,0.007984031936127749
280,749,0.056,0.05951115834218921
280,884,0.003,0.003151260504201681
280,497,0.027,0.033877038895859475
280,263,0.034,0.030141843971631232
280,857,0.002,0.0014914243102162569
280,254,0.022,0.014540647719762068
280,245,0.057,0.045490822027134906
280,344,0.033,0.037628278221208705
280,614,0.01,0.008554319931565444
280,29,0.004,0.005698005698005703
280,893,0.003,0.003171247357293872
280,317,0.01,0.010604453870625669
280,686,0.03,0.025316455696202535
280,56,0.004,0.002941176470588236
280,740,0.068,0.06759443339960246
280,668,0.023,0.02137546468401488
280,515,0.005,0.005257623554153524
280,407,0.032,0.02411454408440091
280,335,0.012,0.01117318435754191
280,236,0.006,0.005494505494505498
280,281,0.01,0.008503401360544217
280,713,0.005,0.0056369785794813995
280,200,0.004,0.005839416058394162
280,641,0.019,0.014274981217129985
280,506,0.001,9.115770282588885E-4
280,551,0.001,0.0022371364653243847
280,605,0.009,0.011235955056179777
280,488,0.005,0.004397537379067723
280,812,0.002,0.0018518518518518526
280,362,0.005,0.005091649694501023
280,20,0.021,0.03271028037383179
280,542,0.007,0.008536585365853666
280,839,0.003,0.0032085561497326226
280,632,0.007,0.00560897435897436
280,524,0.01,0.006123698714023271
280,11,0.009,0.007627118644067799
280,434,0.008,0.008154943934760453
280,443,0.001,0.0013605442176870758
280,209,0.005,0.007874015748031494
280,353,0.007,0.005704971475142628
280,164,0.004,0.003278688524590165
280,416,0.003,0.0031813361611877002
280,776,0.003,0.0026292725679228747
280,155,0.001,0.0010706638115631703
280,731,0.004,0.0042598509052183195
280,128,0.003,0.0024096385542168685
280,830,0.006,0.008645533141210386
280,398,0.001,7.299270072992702E-4
280,596,0.002,0.0013966480446927381
280,758,0.002,0.0015503875968992254
280,704,0.003,0.0020134228187919465
280,371,0.002,0.003636363636363638
280,785,0.006,0.006349206349206353
280,677,0.002,0.0015873015873015888
280,290,0.003,0.005181347150259068
280,659,0.006,0.007075471698113211
280,533,0.001,7.122507122507125E-4
280,326,0.005,0.004659832246039145
280,227,0.003,0.003926701570680632
280,218,0.001,0.0015432098765432115
280,479,0.002,0.0031948881789137396
280,695,0.002,0.001777777777777778
280,119,0.002,0.0028612303290414887
280,299,0.001,0.001182033096926715
280,623,0.004,0.0029695619896065338
280,470,0.002,0.0032733224222585944
280,101,0.001,0.0013642564802182821
280,110,0.001,8.032128514056228E-4
280,137,0.002,0.0020597322348094764
280,173,0.001,9.082652134423255E-4
280,569,0.001,9.671179883945848E-4
145,353,0.012096774193548387,0.009779951100244506
145,326,0.0020161290322580645,0.0018639328984156578
145,47,0.008064516129032258,0.007881773399014778
145,497,0.019153225806451613,0.02383939774153074
145,281,0.05342741935483871,0.04506802721088435
145,713,0.005040322580645161,0.005636978579481399
145,317,0.09475806451612903,0.09968186638388127
145,335,0.03931451612903226,0.03631284916201121
145,461,0.05141129032258065,0.03452945159106298
145,731,0.005040322580645161,0.0053248136315228985
145,56,0.008064516129032258,0.005882352941176471
145,668,0.0020161290322580645,0.0018587360594795545
145,587,0.024193548387096774,0.027809965237543498
145,686,0.07258064516129033,0.060759493670886094
145,146,0.008064516129032258,0.009768009768009771
145,650,0.006048387096774193,0.008021390374331552
145,758,0.01310483870967742,0.010077519379844965
145,236,0.005040322580645161,0.004578754578754582
145,290,0.011088709677419355,0.01899827288428325
145,200,0.0030241935483870967,0.004379562043795622
145,875,0.020161290322580645,0.017196904557179718
145,389,0.023185483870967742,0.014696485623003205
145,776,0.014112903225806451,0.012269938650306747
145,299,0.0010080645161290322,0.0011820330969267148
145,632,0.020161290322580645,0.016025641025641024
145,812,0.04032258064516129,0.03703703703703704
145,749,0.005040322580645161,0.005313496280552607
145,11,0.03528225806451613,0.029661016949152557
145,641,0.0030241935483870967,0.0022539444027047345
145,398,0.018145161290322582,0.013138686131386863
145,623,0.028225806451612902,0.020786933927245732
145,470,0.008064516129032258,0.013093289689034374
145,884,0.007056451612903226,0.007352941176470588
145,380,0.025201612903225805,0.015954052329291646
145,830,0.012096774193548387,0.01729106628242077
145,29,0.011088709677419355,0.01566951566951568
145,866,0.012096774193548387,0.010704727921498663
145,740,0.021169354838709676,0.020874751491053695
145,839,0.0020161290322580645,0.0021390374331550816
145,425,0.006048387096774193,0.006403415154749205
145,479,0.009072580645161291,0.014376996805111827
145,173,0.004032258064516129,0.0036330608537693014
145,695,0.023185483870967742,0.020444444444444446
145,578,0.004032258064516129,0.005298013245033115
145,308,0.008064516129032258,0.015968063872255498
145,434,0.005040322580645161,0.005096839959225282
145,560,0.0030241935483870967,0.003640776699029126
145,263,0.009072580645161291,0.007978723404255325
145,569,0.025201612903225805,0.02417794970986462
145,488,0.0030241935483870967,0.002638522427440634
145,893,0.0020161290322580645,0.002114164904862581
145,605,0.011088709677419355,0.013732833957553063
145,533,0.004032258064516129,0.0028490028490028496
145,614,0.009072580645161291,0.0076988879384089
145,65,0.004032258064516129,0.004415011037527596
145,362,0.0030241935483870967,0.0030549898167006135
145,254,0.007056451612903226,0.004626569729015204
145,857,0.005040322580645161,0.0037285607755406414
145,191,0.004032258064516129,0.003861003861003863
145,407,0.02217741935483871,0.016578749058025626
145,722,0.0030241935483870967,0.0033936651583710434
145,704,0.009072580645161291,0.00604026845637584
145,245,0.006048387096774193,0.004788507581803674
145,128,0.0010080645161290322,8.032128514056228E-4
145,83,0.004032258064516129,0.004464285714285716
145,524,0.0030241935483870967,0.0018371096142069815
145,182,0.0010080645161290322,0.0013262599469496031
145,344,0.007056451612903226,0.007981755986316997
145,272,0.004032258064516129,0.006611570247933883
145,209,0.005040322580645161,0.007874015748031494
145,767,0.0030241935483870967,0.0029556650246305416
145,452,0.0020161290322580645,0.0029368575624082248
145,551,0.0020161290322580645,0.004474272930648769
145,416,0.0020161290322580645,0.002120890774125133
145,542,0.004032258064516129,0.004878048780487808
145,227,0.0010080645161290322,0.0013089005235602108
145,515,0.004032258064516129,0.004206098843322819
145,137,0.0010080645161290322,0.001029866117404738
145,38,0.0020161290322580645,0.0019305019305019314
145,164,0.0030241935483870967,0.0024590163934426236
145,794,0.0010080645161290322,0.0011286681715575622
145,92,0.0010080645161290322,0.0012531328320802009
145,506,0.0010080645161290322,9.115770282588883E-4
145,155,0.0010080645161290322,0.00107066381156317
145,2,0.0010080645161290322,6.958942240779405E-4
145,848,0.0010080645161290322,0.0011933174224343674
145,20,0.0010080645161290322,0.0015576323987538947
145,110,0.0010080645161290322,8.032128514056227E-4
145,785,0.0010080645161290322,0.0010582010582010587
145,677,0.0010080645161290322,7.936507936507942E-4
199,848,0.021739130434782608,0.022673031026252982
199,263,0.017162471395881007,0.01329787234042554
199,875,0.09610983981693363,0.0722269991401548
199,272,0.04004576659038902,0.05785123966942148
199,740,0.02288329519450801,0.019880715705765425
199,443,0.02402745995423341,0.028571428571428588
199,830,0.009153318077803204,0.011527377521613846
199,749,0.02517162471395881,0.023379383634431473
199,587,0.04462242562929062,0.04519119351100818
199,29,0.016018306636155607,0.019943019943019957
199,191,0.02288329519450801,0.019305019305019315
199,308,0.010297482837528604,0.017964071856287435
199,722,0.004576659038901602,0.004524886877828057
199,650,0.005720823798627002,0.0066844919786096255
199,20,0.032036613272311214,0.04361370716510905
199,452,0.0011441647597254005,0.0014684287812041124
199,164,0.02517162471395881,0.018032786885245903
199,407,0.010297482837528604,0.006782215523737755
199,839,0.018306636155606407,0.017112299465240653
199,686,0.006864988558352402,0.005063291139240507
